"time","year"
"10,6","06.07.1912"
"10,6","29.09.1912"
"10,6","25.07.1920"
"10,6","12.09.1920"
"10,6","16.09.1920"
"10,4","23.04.1921"
"10,4","06.05.1923"
"10,4","29.08.1926"
"10,4","12.09.1926"
"10,4","04.09.1927"
"10,4","04.09.1927"
"10,4","21.04.1928"
"10,4","01.07.1928"
"10,4","15.06.1928"
"10,4","26.08.1928"
"10,4","12.05.1929"
"10,4","30.06.1929"
"10,4","13.07.1929"
"10,4","21.07.1929"
"10,4","28.07.1929"
"10,4","31.07.1929"
"10,4","31.07.1929"
"10,4","08.08.1929"
"10,4","18.08.1929"
"10,4","25.08.1929"
"10,4","08.09.1929"
"10,4","08.09.1929"
"10,4","01.06.1930"
"10,4","13.07.1930"
"10,4","20.07.1930"
"10,4","02.08.1930"
"10,3","09.08.1930"
"10,3","05.06.1932"
"10,3","01.08.1932"
"10,3 (10,38)","01.08.1932"
"10,3 (10,38)","01.08.1932"
"10,3","18.08.1932"
"10,3","23.07.1933"
"10,3","28.06.1933"
"10,3","30.07.1933"
"10,3","12.08.1933"
"10,3","12.08.1933"
"10,3","01.07.1934"
"10,3","22.07.1934"
"10,3","06.08.1934"
"10,3","06.08.1934"
"10,3","26.08.1934"
"10,3","15.09.1934"
"10,3","15.09.1934"
"10,3","23.09.1934"
"10,3","23.09.1934"
"10,3","06.06.1935"
"10,3","15.06.1935"
"10,3","06.08.1935"
"10,2","20.06.1936"
"10,2","06.06.1941"
"10,2","08.08.1943"
"10,2","16.11.1946"
"10,2","15.05.1948"
"10,2","04.06.1948"
"10,2","07.07.1948"
"10,2","25.08.1951"
"10,2","13.03.1954"
"10,2","31.10.1954"
"10,2","19.05.1956"
"10,2","01.06.1956"
"10,2","22.06.1956"
"10,2","29.06.1956"
"10,2","29.06.1956"
"10,2","29.06.1956"
"10,1","03.08.1956"
"10,1","04.08.1956"
"10,1","05.08.1956"
"10,1","20.10.1956"
"10,1","27.10.1956"
"10,1","18.04.1959"
"10,1","10.06.1960"
"10,0 (10,25)","21.06.1960"
"10,0","15.07.1960"
"10,0","15.08.1964"
"10,0 (10,06)","15.10.1964"
"10,0","24.10.1965"
"10,0","27.05.1967"
"10,0","27.05.1967"
"10,0","17.06.1967"
"10,0","31.05.1968"
"10,0","02.04.1968"
"10,0","06.04.1968"
"10,0","06.04.1968"
"10,0","31.05.1968"
"10,0","20.06.1968"
"10,0","20.06.1968"
"9,9 (10,03)","20.06.1968"
"9,9 (10,14)","20.06.1968"
"9,9 (10,10)","20.06.1968"
"9,9 (9,95)","14.10.1968"
"9,9","21.06.1972"
"9,9","01.07.1972"
"9,9","01.07.1972"
"9,9","05.06.1975"
"9,8 (10,19)","20.06.1975"
"9,9","16.07.1975"
"9,9","26.07.1975"
"9,9","22.08.1975"
"9,9","27.03.1976"
"9,9","03.04.1976"
"9,9","01.05.1976"
"9,9","22.05.1976"
"10,64","16.07.1932"
"10,53","31.07.1932"
"10,38","01.08.1932"
"10,38","01.08.1932"
"10,34","09.07.1948"
"10,32","10.08.1958"
"10,32","10.08.1958"
"10,29","13.09.1958"
"10,25","21.06.1960"
"10,06","15.10.1964"
"10,03","20.06.1968"
"10,02","13.10.1968"
"9,95","14.10.1968"
"9,93","03.07.1983"
"9,93","30.08.1987"
"9,93","17.08.1988"
"9,92","24.09.1988"
"9,90","14.06.1991"
"9,86","25.08.1991"
"9,85","06.07.1994"
"9,84","27.07.1996"
"9,79","16.06.1999"
"9,77","14.06.2005"
"9,77","11.06.2006"
"9,77","18.08.2006"
"9,74","09.09.2007"
"9,72","31.05.2008"
"9,69","16.08.2008"
"9,58","16.08.2009"
